sentiment_analysis,posted
2,2014
2,2013
2,2014
2,2015
2,2015
2,2015
2,2015
2,2014
2,2014
2,2014
2,2014
0,2015
2,2013
2,2013
0,2015
2,2013
2,2015
2,2014
0,2015
2,2015
2,2013
2,2015
0,2014
2,2015
2,2014
2,2015
2,2015
1,2015
2,2015
2,2015
2,2013
2,2015
2,2015
2,2014
2,2014
2,2013
2,2013
2,2013
1,2015
1,2014
1,2015
2,2014
1,2014
1,2014
2,2014
0,2015
2,2015
0,2015
2,2015
2,2015
2,2012
2,2014
2,2015
0,2014
2,2014
2,2013
2,2012
2,2014
2,2015
2,2012
2,2015
1,2014
2,2015
2,2014
2,2014
1,2014
1,2014
1,2014
2,2014
0,2014
2,2014
2,2014
0,2014
1,2015
2,2013
1,2015
2,2014
1,2015
1,2014
2,2014
2,2015
2,2014
1,2015
2,2014
2,2014
2,2014
2,2014
0,2015
2,2014
0,2014
0,2014
1,2014
0,2014
2,2014
2,2014
2,2015
2,2014
1,2015
1,2014
2,2014
2,2014
2,2013
0,2014
2,2013
2,2014
2,2014
0,2015
0,2014
0,2014
2,2014
2,2014
1,2013
2,2013
2,2014
2,2015
0,2015
1,2014
2,2014
2,2015
2,2014
2,2013
2,2012
2,2013
0,2013
2,2014
2,2014
2,2013
2,2013
1,2013
0,2013
1,2014
1,2014
2,2014
2,2013
2,2014
2,2012
2,2015
2,2014
0,2013
1,2013
2,2014
2,2013
2,2014
1,2014
1,2015
2,2013
0,2014
2,2014
2,2013
2,2014
2,2013
0,2015
2,2015
2,2014
0,2015
0,2015
2,2014
2,2014
1,2015
2,2015
2,2015
2,2014
1,2015
2,2014
0,2014
0,2015
2,2014
2,2015
1,2013
2,2014
1,2015
2,2014
1,2014
1,2015
2,2014
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
1,2013
2,2013
2,2013
0,2013
2,2014
2,2014
1,2015
1,2015
2,2014
2,2014
2,2014
0,2014
0,2014
2,2015
0,2014
2,2014
0,2014
2,2014
0,2015
2,2014
2,2014
2,2014
2,2014
2,2014
1,2014
2,2014
1,2015
0,2015
1,2014
2,2014
2,2013
2,2015
2,2015
2,2015
2,2014
2,2014
0,2015
2,2015
2,2015
2,2014
2,2014
1,2015
2,2014
2,2014
1,2014
1,2015
1,2015
2,2014
0,2014
2,2014
2,2014
2,2014
1,2014
2,2014
2,2015
1,2014
0,2015
2,2014
2,2015
2,2015
2,2014
0,2014
2,2013
1,2015
0,2014
2,2012
2,2015
1,2015
2,2014
2,2015
2,2014
1,2015
0,2014
2,2014
0,2014
2,2014
2,2013
1,2014
0,2015
2,2013
2,2013
0,2015
1,2014
2,2014
2,2014
2,2014
2,2014
1,2014
1,2014
2,2014
1,2014
2,2013
2,2014
2,2015
2,2014
0,2013
2,2013
2,2014
2,2014
0,2014
2,2013
2,2013
2,2014
2,2014
1,2014
2,2014
2,2015
2,2015
2,2014
2,2013
1,2014
2,2014
0,2015
1,2015
2,2014
0,2013
2,2014
2,2014
0,2014
1,2014
1,2014
1,2014
2,2014
2,2013
1,2014
0,2015
1,2014
2,2014
0,2015
2,2014
1,2013
2,2013
1,2014
0,2013
1,2013
2,2013
0,2013
1,2013
2,2015
2,2015
2,2014
2,2014
1,2015
1,2015
2,2015
2,2014
2,2013
2,2014
2,2015
0,2014
1,2014
2,2015
2,2015
2,2014
2,2015
2,2014
0,2014
2,2013
1,2015
2,2014
2,2015
2,2014
2,2014
2,2015
1,2015
2,2014
2,2015
2,2014
2,2014
2,2014
2,2014
2,2013
0,2015
2,2015
2,2014
2,2014
2,2014
2,2015
2,2015
2,2014
2,2013
2,2013
2,2014
2,2014
0,2014
2,2015
2,2014
2,2014
2,2013
2,2014
2,2014
2,2015
2,2015
2,2015
2,2014
0,2014
2,2012
2,2012
2,2014
2,2013
2,2014
2,2015
2,2015
0,2015
2,2012
1,2015
1,2014
1,2015
1,2014
2,2014
1,2013
2,2012
1,2014
2,2015
2,2014
2,2013
2,2014
1,2014
2,2015
2,2014
2,2014
0,2015
2,2015
2,2015
1,2012
2,2015
1,2014
1,2014
1,2015
2,2014
2,2014
1,2014
2,2015
0,2014
2,2015
2,2014
2,2015
2,2015
2,2015
2,2015
2,2015
2,2015
2,2015
2,2014
2,2014
1,2014
2,2014
0,2015
2,2015
1,2015
0,2014
2,2015
0,2014
2,2015
2,2014
0,2015
2,2015
2,2015
1,2015
0,2015
2,2014
1,2015
1,2015
2,2014
2,2013
2,2012
1,2013
2,2015
2,2014
2,2014
2,2014
2,2014
0,2014
2,2014
1,2014
2,2014
0,2015
2,2014
1,2015
0,2015
2,2014
2,2015
2,2014
1,2014
2,2014
2,2013
1,2014
2,2014
2,2012
2,2012
2,2014
2,2014
2,2013
2,2015
2,2014
2,2014
0,2015
1,2015
2,2013
2,2014
1,2014
2,2014
0,2014
2,2015
0,2015
2,2015
2,2014
2,2014
2,2014
2,2015
0,2012
0,2012
2,2014
2,2013
2,2014
2,2012
2,2015
0,2015
2,2015
2,2015
2,2015
2,2012
2,2012
0,2014
2,2013
1,2015
2,2014
0,2014
2,2014
1,2014
2,2015
2,2015
2,2013
2,2013
2,2015
1,2015
2,2014
2,2013
0,2014
2,2014
1,2015
2,2014
1,2015
2,2014
2,2014
2,2014
0,2013
2,2013
2,2014
2,2014
2,2015
2,2015
2,2015
2,2014
0,2014
0,2014
0,2014
2,2014
2,2015
0,2014
2,2014
2,2013
2,2015
0,2014
2,2013
1,2014
2,2015
1,2015
1,2014
2,2013
2,2014
2,2014
0,2014
2,2015
2,2014
1,2014
1,2013
1,2014
2,2014
2,2015
0,2015
2,2013
1,2015
2,2014
1,2014
1,2013
2,2014
2,2015
2,2014
2,2014
2,2014
1,2014
0,2014
1,2013
1,2014
1,2015
2,2014
2,2015
2,2014
2,2013
2,2013
2,2014
1,2015
1,2014
0,2015
2,2014
1,2014
1,2013
2,2014
2,2013
0,2014
2,2014
2,2014
0,2014
0,2014
2,2014
0,2014
2,2015
2,2015
2,2014
1,2015
1,2014
2,2014
2,2013
2,2015
2,2013
0,2015
2,2015
2,2014
0,2014
2,2014
0,2014
0,2014
1,2015
1,2015
2,2012
2,2015
1,2013
2,2013
1,2013
1,2013
1,2013
2,2013
2,2013
2,2014
2,2015
2,2014
1,2015
0,2014
1,2013
2,2014
2,2014
1,2015
2,2014
1,2015
0,2014
0,2014
0,2014
2,2012
2,2015
1,2015
2,2014
2,2013
2,2014
2,2013
2,2014
2,2015
2,2014
2,2013
1,2014
2,2014
2,2014
2,2014
2,2014
2,2014
0,2015
0,2014
2,2014
2,2014
0,2014
2,2014
1,2014
2,2015
2,2014
1,2012
2,2014
2,2013
2,2014
2,2014
0,2014
2,2014
2,2013
2,2014
2,2014
2,2014
2,2015
2,2015
2,2015
1,2014
1,2015
2,2014
0,2014
2,2014
2,2014
2,2014
0,2014
2,2014
1,2014
1,2014
1,2014
0,2014
1,2014
1,2014
1,2014
2,2014
2,2014
2,2014
0,2014
2,2014
2,2013
2,2013
2,2014
1,2013
1,2014
1,2014
1,2014
2,2015
2,2015
2,2013
2,2014
1,2014
2,2015
2,2015
2,2014
2,2015
2,2015
2,2014
2,2013
2,2014
2,2014
2,2014
0,2014
1,2014
1,2014
2,2013
2,2014
2,2015
2,2015
2,2014
2,2014
1,2015
2,2014
2,2015
0,2015
2,2014
2,2014
2,2015
1,2013
0,2015
2,2015
2,2013
2,2013
1,2013
2,2015
2,2013
2,2013
1,2014
2,2014
0,2014
2,2013
2,2015
2,2013
2,2014
1,2015
1,2014
0,2013
1,2014
2,2013
1,2014
0,2015
1,2015
1,2012
1,2015
1,2015
1,2015
0,2015
2,2013
0,2015
2,2015
2,2014
2,2014
2,2014
2,2014
1,2013
2,2015
2,2015
0,2014
2,2014
2,2014
2,2014
2,2015
2,2014
2,2013
1,2014
0,2014
2,2014
0,2014
2,2015
2,2014
0,2013
2,2013
1,2014
1,2014
2,2012
2,2014
2,2014
2,2014
2,2014
2,2014
1,2013
1,2014
0,2014
2,2015
2,2014
2,2014
2,2015
1,2014
2,2013
2,2014
2,2015
2,2015
2,2014
2,2014
0,2013
2,2013
2,2012
2,2014
1,2013
2,2013
2,2015
0,2015
2,2013
2,2012
1,2015
2,2015
2,2013
1,2015
2,2015
2,2015
1,2015
2,2015
1,2013
2,2013
2,2013
2,2013
0,2014
2,2015
1,2015
2,2014
1,2015
1,2014
2,2014
1,2015
2,2013
1,2013
1,2015
2,2015
0,2015
0,2015
2,2015
2,2014
2,2014
1,2014
0,2013
0,2014
0,2012
0,2012
2,2014
2,2015
0,2013
1,2014
1,2013
1,2014
1,2014
1,2013
0,2013
1,2014
1,2015
0,2014
0,2014
1,2014
2,2015
2,2015
2,2015
2,2015
2,2014
2,2013
0,2014
0,2014
2,2015
2,2015
0,2015
2,2015
2,2014
2,2013
2,2013
2,2013
2,2013
2,2014
2,2014
1,2014
1,2014
2,2014
0,2014
1,2014
2,2014
2,2013
2,2015
2,2014
2,2014
2,2014
1,2014
2,2014
2,2014
2,2014
2,2014
2,2013
0,2015
0,2015
2,2014
2,2015
2,2015
0,2015
2,2015
2,2013
1,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
1,2014
0,2014
2,2014
2,2014
2,2014
2,2013
2,2013
2,2015
2,2015
0,2015
0,2015
2,2014
1,2015
0,2015
2,2014
2,2014
2,2012
2,2015
0,2015
2,2013
2,2014
2,2013
2,2015
2,2014
0,2015
2,2015
0,2015
2,2014
2,2014
2,2014
2,2015
2,2015
2,2014
2,2013
2,2014
2,2014
2,2014
1,2015
2,2014
2,2014
0,2013
1,2015
1,2013
1,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
2,2015
2,2015
2,2015
2,2015
2,2015
2,2015
2,2014
1,2015
2,2015
1,2014
2,2014
2,2013
1,2014
0,2015
2,2015
2,2015
2,2015
2,2012
2,2014
1,2014
2,2015
2,2015
1,2015
2,2013
2,2014
0,2014
2,2014
2,2014
2,2014
2,2014
0,2014
2,2014
2,2013
2,2013
1,2014
2,2014
2,2014
2,2015
2,2014
2,2015
0,2014
1,2014
1,2013
2,2013
2,2012
0,2012
2,2012
2,2012
2,2013
2,2015
2,2015
2,2014
2,2015
2,2015
2,2013
2,2015
2,2015
1,2013
2,2014
2,2013
1,2014
2,2014
2,2013
2,2013
2,2014
0,2013
2,2013
2,2015
2,2015
2,2015
1,2015
2,2013
2,2013
2,2015
0,2015
2,2013
2,2015
2,2014
0,2014
2,2014
1,2014
2,2014
1,2015
2,2014
2,2014
2,2013
1,2014
1,2015
2,2015
2,2014
2,2012
2,2014
2,2015
2,2014
2,2015
2,2015
2,2014
2,2014
2,2014
1,2014
0,2014
2,2014
2,2014
0,2014
1,2015
2,2014
1,2014
2,2014
0,2014
1,2014
2,2014
2,2014
2,2014
2,2015
2,2014
2,2014
0,2014
2,2014
2,2014
2,2014
0,2013
2,2015
2,2015
2,2015
0,2014
2,2014
2,2014
2,2015
1,2014
1,2014
2,2012
1,2014
2,2015
0,2014
2,2014
0,2014
2,2014
1,2014
2,2014
2,2014
2,2015
2,2014
2,2015
2,2015
2,2014
2,2013
2,2014
0,2013
2,2013
2,2014
1,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
1,2013
2,2014
2,2014
2,2014
2,2014
2,2013
2,2013
1,2014
1,2013
2,2014
2,2015
2,2014
1,2012
2,2013
1,2014
2,2015
2,2015
2,2015
1,2014
2,2014
1,2014
2,2013
0,2013
2,2014
2,2013
2,2015
2,2015
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
0,2015
0,2015
2,2015
2,2015
0,2015
2,2015
2,2015
2,2015
2,2015
2,2015
1,2014
1,2014
2,2014
2,2014
2,2015
2,2015
2,2015
2,2014
2,2015
2,2014
0,2014
2,2014
2,2015
1,2015
0,2014
2,2015
0,2014
0,2014
0,2014
1,2015
0,2013
2,2014
0,2014
2,2014
1,2013
2,2014
2,2014
1,2014
2,2013
2,2014
2,2015
2,2014
2,2013
1,2015
2,2013
2,2015
1,2013
2,2013
2,2013
2,2015
1,2015
2,2015
2,2014
2,2014
2,2015
2,2014
2,2014
2,2013
2,2013
2,2015
0,2014
2,2014
2,2014
2,2014
2,2014
1,2015
2,2014
2,2014
2,2014
2,2014
2,2015
2,2014
1,2013
2,2014
2,2014
1,2014
2,2014
2,2015
2,2014
0,2013
2,2013
2,2013
2,2013
2,2013
2,2013
2,2013
0,2015
2,2015
2,2015
2,2014
2,2013
2,2014
2,2013
0,2014
2,2015
2,2015
2,2015
2,2014
1,2013
2,2014
1,2014
1,2014
1,2014
2,2015
0,2015
2,2014
2,2013
0,2014
2,2014
2,2015
1,2015
2,2013
1,2014
0,2014
0,2015
2,2015
2,2013
2,2013
2,2013
2,2014
2,2013
1,2014
1,2015
2,2014
2,2014
2,2015
1,2014
2,2014
2,2015
0,2015
1,2014
2,2014
2,2014
2,2014
2,2014
1,2014
2,2014
2,2015
2,2014
2,2014
0,2015
2,2015
2,2014
2,2014
2,2014
2,2014
1,2015
2,2014
1,2013
0,2014
2,2014
2,2014
2,2014
2,2014
1,2013
1,2015
2,2015
1,2015
2,2014
2,2014
1,2014
0,2013
2,2015
2,2013
2,2015
2,2013
2,2014
1,2015
2,2014
1,2014
2,2015
2,2014
0,2014
2,2015
2,2014
2,2015
2,2014
2,2014
1,2014
2,2012
2,2015
1,2013
2,2014
2,2015
2,2014
0,2014
2,2013
2,2013
2,2014
1,2013
2,2015
2,2014
2,2014
2,2014
0,2015
2,2015
2,2015
1,2015
1,2015
0,2015
0,2014
2,2014
2,2014
2,2014
1,2014
0,2014
1,2014
1,2013
1,2014
2,2013
2,2015
2,2014
2,2014
1,2014
1,2015
1,2015
2,2015
2,2015
2,2015
0,2015
2,2015
2,2015
2,2014
2,2014
2,2014
2,2014
2,2015
2,2015
2,2014
2,2015
2,2014
0,2014
2,2014
2,2014
0,2014
2,2015
2,2013
2,2015
2,2014
2,2013
1,2014
1,2014
2,2015
2,2014
2,2014
0,2013
2,2014
2,2014
2,2013
2,2012
1,2012
1,2014
2,2014
2,2015
2,2015
1,2014
2,2015
2,2015
2,2013
0,2014
1,2014
2,2014
2,2013
1,2013
1,2013
1,2014
1,2014
2,2013
2,2013
1,2015
1,2014
1,2013
2,2013
1,2013
2,2012
2,2015
2,2014
2,2015
2,2014
2,2015
2,2014
0,2015
0,2013
1,2014
2,2014
2,2014
2,2014
2,2014
2,2015
2,2014
2,2014
2,2013
0,2014
2,2014
1,2014
1,2013
2,2014
2,2014
1,2015
2,2014
2,2014
2,2015
2,2012
1,2014
2,2014
1,2014
2,2014
2,2014
0,2014
2,2014
2,2013
2,2015
2,2013
2,2015
0,2015
1,2013
2,2015
2,2014
2,2014
2,2014
2,2014
0,2014
2,2014
2,2014
0,2014
0,2015
0,2015
2,2015
2,2014
2,2013
1,2012
2,2013
0,2015
1,2015
2,2015
2,2015
2,2012
2,2013
1,2014
0,2014
2,2015
2,2013
1,2015
1,2014
1,2014
1,2014
1,2014
1,2015
2,2014
1,2015
2,2014
1,2013
1,2014
2,2014
0,2014
1,2012
1,2012
0,2015
1,2013
2,2014
2,2014
2,2013
2,2014
2,2014
1,2015
1,2015
1,2013
2,2015
2,2013
2,2013
0,2014
2,2014
0,2015
2,2014
1,2013
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
2,2015
0,2015
2,2013
2,2013
1,2014
2,2013
1,2015
2,2015
0,2014
1,2014
1,2014
2,2013
0,2012
2,2014
2,2014
0,2014
1,2014
2,2014
2,2014
2,2013
2,2013
0,2013
2,2013
1,2013
1,2012
2,2013
1,2014
2,2015
1,2015
2,2014
1,2015
2,2013
0,2013
2,2013
2,2014
2,2014
2,2014
2,2015
2,2015
1,2013
2,2015
2,2015
2,2015
2,2015
2,2014
2,2013
0,2014
0,2015
2,2015
2,2014
1,2014
2,2014
2,2014
2,2014
2,2014
2,2015
2,2014
1,2014
2,2014
2,2015
2,2013
2,2013
2,2012
2,2014
1,2014
1,2014
1,2014
1,2014
2,2014
0,2014
1,2014
2,2014
2,2014
2,2014
1,2013
2,2014
2,2015
2,2014
2,2015
0,2015
2,2013
2,2014
2,2015
2,2015
2,2015
1,2015
2,2015
0,2015
0,2015
2,2012
1,2014
2,2013
2,2015
2,2014
2,2014
1,2014
1,2015
2,2015
2,2012
2,2014
1,2015
2,2014
2,2014
2,2014
2,2013
2,2015
0,2014
1,2015
2,2013
2,2014
0,2015
0,2014
2,2014
2,2014
2,2014
2,2015
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2015
2,2014
2,2015
2,2015
2,2015
2,2015
2,2014
2,2012
2,2014
2,2015
2,2014
2,2015
2,2015
1,2015
2,2014
1,2014
2,2014
1,2015
1,2015
2,2015
2,2015
1,2015
1,2015
1,2015
2,2015
0,2014
1,2013
2,2013
2,2014
2,2014
1,2013
1,2013
2,2014
2,2015
2,2015
2,2014
2,2014
2,2015
2,2014
1,2015
2,2014
2,2014
0,2014
1,2013
0,2013
2,2013
2,2013
2,2014
2,2014
2,2013
2,2014
2,2013
2,2013
2,2013
2,2013
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
1,2013
2,2015
2,2014
2,2013
2,2013
2,2014
2,2014
2,2015
0,2014
2,2014
1,2014
0,2015
1,2015
0,2015
2,2014
2,2014
2,2015
2,2015
2,2015
2,2015
0,2014
2,2014
1,2014
2,2014
2,2014
2,2014
0,2015
1,2015
2,2015
0,2015
2,2015
1,2015
2,2015
1,2015
2,2014
2,2014
1,2014
2,2015
2,2015
2,2014
2,2014
2,2015
2,2015
2,2013
1,2015
0,2013
0,2015
1,2015
1,2015
0,2015
1,2014
0,2013
2,2014
2,2014
0,2015
2,2014
2,2014
2,2013
0,2014
1,2013
1,2015
1,2013
2,2014
2,2014
2,2014
2,2013
2,2014
2,2014
1,2015
0,2015
2,2014
0,2015
2,2015
2,2014
2,2015
2,2013
2,2013
1,2012
2,2015
1,2014
1,2013
2,2015
0,2015
1,2014
1,2014
0,2014
0,2014
2,2014
1,2014
2,2014
0,2014
1,2015
0,2014
2,2014
0,2014
2,2014
2,2015
2,2014
2,2014
2,2014
0,2014
2,2014
2,2014
2,2014
0,2015
2,2015
2,2015
2,2014
2,2015
2,2013
2,2013
0,2015
2,2013
2,2013
2,2014
1,2014
2,2014
2,2014
1,2014
2,2014
0,2015
2,2013
1,2013
0,2015
2,2015
2,2015
2,2015
2,2015
2,2015
2,2015
0,2015
2,2014
2,2015
2,2014
2,2014
2,2014
2,2014
0,2014
2,2014
2,2014
2,2013
2,2014
2,2014
2,2015
1,2015
2,2015
2,2015
2,2014
0,2015
2,2013
0,2014
1,2012
2,2014
0,2014
0,2013
2,2014
2,2015
2,2014
1,2014
2,2013
2,2015
2,2014
1,2013
2,2015
2,2015
2,2013
1,2014
2,2014
2,2014
1,2015
2,2012
1,2014
2,2015
2,2012
2,2012
2,2012
1,2012
2,2014
2,2013
2,2013
2,2013
2,2014
1,2013
2,2014
2,2014
2,2015
0,2014
2,2013
0,2015
1,2015
2,2013
0,2015
2,2015
2,2014
2,2014
2,2013
2,2013
2,2013
2,2013
1,2014
2,2014
2,2014
2,2015
2,2014
2,2014
0,2014
0,2015
2,2015
2,2015
2,2014
1,2014
1,2015
2,2015
1,2014
2,2014
0,2012
1,2012
2,2015
2,2015
1,2015
2,2015
2,2015
2,2014
2,2014
2,2014
1,2014
2,2014
1,2014
2,2015
0,2014
2,2015
2,2014
2,2014
2,2013
2,2014
2,2014
2,2015
2,2013
0,2014
0,2015
0,2013
2,2015
0,2014
2,2014
2,2015
2,2014
1,2014
2,2014
1,2013
0,2014
2,2015
2,2014
2,2014
2,2015
1,2014
1,2015
2,2014
2,2013
2,2015
2,2015
2,2013
2,2014
2,2014
0,2014
2,2014
2,2013
0,2014
2,2015
2,2014
2,2014
2,2013
2,2014
2,2013
2,2013
2,2015
2,2014
2,2013
0,2015
2,2015
0,2015
1,2014
2,2015
2,2014
1,2015
1,2014
2,2015
1,2014
2,2014
2,2014
2,2015
2,2015
2,2014
0,2014
2,2015
2,2014
2,2013
2,2015
2,2015
2,2014
2,2014
1,2014
2,2015
0,2015
0,2015
2,2015
2,2015
0,2014
2,2014
2,2013
2,2014
1,2015
2,2014
2,2013
2,2015
0,2014
2,2014
2,2014
2,2014
2,2014
1,2014
2,2015
2,2014
2,2015
2,2014
0,2014
0,2014
2,2014
2,2014
2,2014
1,2014
1,2014
1,2015
0,2015
0,2015
1,2015
2,2015
2,2015
2,2014
1,2014
1,2015
2,2012
2,2015
2,2015
2,2013
2,2015
2,2014
2,2014
2,2014
2,2012
0,2014
2,2015
1,2015
2,2014
2,2014
2,2015
1,2015
2,2014
2,2015
1,2014
1,2014
1,2015
1,2015
2,2013
1,2015
2,2014
2,2013
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
2,2014
2,2015
1,2015
2,2014
0,2015
2,2014
0,2015
1,2015
2,2013
1,2015
0,2015
1,2015
2,2014
1,2015
1,2013
2,2014
1,2014
1,2015
2,2015
2,2013
2,2014
2,2014
2,2015
1,2014
2,2015
1,2015
2,2015
1,2015
2,2015
1,2015
0,2015
1,2015
1,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
2,2013
2,2015
2,2015
0,2015
2,2014
1,2014
1,2014
2,2015
2,2014
2,2014
2,2013
2,2013
2,2013
2,2013
2,2013
1,2014
2,2014
2,2014
1,2013
1,2014
2,2014
0,2014
0,2015
0,2015
1,2013
2,2015
2,2015
2,2013
2,2015
2,2015
2,2014
0,2014
1,2015
1,2014
1,2014
0,2015
1,2014
2,2014
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2013
2,2014
2,2013
2,2013
2,2013
2,2015
2,2014
1,2014
1,2015
0,2015
2,2015
2,2015
2,2015
2,2015
2,2014
2,2014
2,2014
2,2014
2,2013
2,2014
2,2015
1,2015
2,2014
1,2014
1,2015
2,2015
2,2014
2,2014
2,2014
2,2012
2,2015
2,2014
0,2014
0,2014
1,2014
1,2014
1,2014
2,2014
2,2013
2,2014
2,2013
2,2015
2,2014
1,2015
0,2014
0,2015
0,2015
2,2015
1,2014
2,2013
2,2014
1,2014
1,2015
2,2014
2,2014
1,2014
2,2014
2,2014
2,2013
1,2014
2,2014
1,2015
1,2015
1,2015
1,2015
2,2014
2,2014
1,2015
1,2014
2,2014
2,2014
2,2015
2,2014
2,2014
2,2014
0,2014
2,2014
2,2013
2,2014
1,2014
2,2014
2,2015
2,2014
1,2014
2,2014
2,2015
2,2014
2,2014
0,2014
1,2013
2,2014
0,2014
2,2014
0,2014
1,2015
2,2012
2,2014
1,2014
2,2012
0,2013
0,2014
2,2014
2,2013
2,2014
2,2014
0,2014
0,2014
0,2013
2,2015
2,2015
1,2013
2,2015
2,2014
0,2015
2,2015
2,2013
2,2014
2,2014
2,2013
2,2013
2,2014
2,2013
2,2014
1,2014
2,2015
1,2014
1,2014
0,2014
0,2014
0,2014
2,2013
2,2013
2,2015
0,2015
0,2015
2,2013
2,2015
2,2013
0,2014
1,2014
2,2013
2,2014
2,2015
2,2015
2,2014
2,2014
2,2015
2,2014
1,2014
1,2014
1,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
0,2014
2,2015
2,2014
2,2013
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
0,2013
2,2014
2,2015
2,2014
2,2014
2,2014
1,2014
1,2014
2,2014
2,2015
2,2014
0,2013
2,2015
2,2014
2,2013
2,2015
2,2013
2,2013
2,2014
2,2013
2,2012
2,2014
2,2015
1,2015
1,2015
1,2014
1,2015
1,2014
1,2015
2,2014
1,2014
2,2014
2,2014
2,2015
2,2013
2,2014
2,2014
2,2014
1,2014
2,2015
2,2014
1,2015
1,2015
2,2014
2,2013
1,2015
2,2013
1,2014
0,2013
2,2014
2,2014
2,2015
2,2014
0,2015
1,2015
2,2015
1,2014
2,2015
0,2014
2,2015
2,2014
2,2015
2,2015
1,2015
0,2015
1,2015
2,2014
2,2015
1,2012
0,2012
2,2014
2,2014
2,2014
2,2014
2,2013
1,2014
2,2014
2,2015
1,2014
1,2015
2,2014
1,2015
0,2015
2,2015
2,2014
2,2014
2,2014
2,2014
2,2013
2,2013
2,2015
2,2014
1,2014
2,2014
2,2014
2,2014
2,2013
1,2015
2,2014
2,2015
2,2015
2,2015
2,2014
0,2015
1,2014
2,2013
0,2015
0,2014
2,2014
2,2014
2,2014
1,2014
1,2014
0,2015
1,2015
2,2014
1,2014
1,2014
1,2015
0,2015
0,2015
2,2014
0,2015
0,2014
2,2013
2,2013
2,2013
2,2013
1,2015
2,2014
2,2014
2,2014
2,2014
1,2014
2,2015
2,2013
1,2015
0,2014
2,2014
2,2014
0,2014
0,2015
1,2013
2,2015
0,2015
1,2014
2,2015
0,2014
2,2014
2,2014
2,2014
0,2014
2,2014
1,2014
2,2014
1,2014
1,2015
1,2014
2,2013
2,2013
0,2014
0,2015
2,2015
2,2015
1,2015
1,2015
1,2015
2,2015
1,2014
2,2013
2,2015
0,2015
2,2015
2,2013
2,2015
2,2014
2,2014
2,2013
2,2014
2,2014
1,2015
2,2013
2,2015
0,2015
2,2015
1,2015
1,2015
2,2013
1,2013
0,2014
0,2014
2,2014
2,2013
1,2014
2,2014
2,2012
2,2013
2,2014
2,2014
2,2013
2,2015
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
2,2014
1,2013
2,2014
0,2013
2,2014
2,2015
2,2015
1,2014
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
2,2015
2,2015
2,2015
1,2015
2,2014
2,2015
2,2015
0,2015
2,2015
0,2015
1,2014
2,2014
2,2013
1,2014
2,2014
1,2014
2,2014
2,2014
2,2014
1,2015
2,2014
2,2014
2,2013
2,2013
1,2014
2,2013
1,2013
1,2014
1,2014
2,2014
2,2014
1,2014
2,2014
2,2014
2,2014
2,2014
0,2015
2,2015
2,2014
2,2013
2,2013
2,2014
2,2013
0,2014
2,2014
2,2013
1,2015
1,2014
2,2015
2,2014
2,2014
2,2015
2,2015
2,2014
0,2013
2,2014
1,2015
1,2014
1,2014
0,2013
2,2015
2,2015
0,2015
2,2014
2,2015
1,2014
2,2014
2,2014
2,2015
2,2014
0,2015
2,2015
0,2014
2,2014
1,2013
0,2015
0,2015
2,2015
2,2014
1,2015
0,2014
0,2014
2,2015
2,2014
2,2013
2,2014
1,2014
1,2015
1,2015
0,2015
0,2015
0,2014
1,2014
0,2014
1,2015
2,2013
2,2013
2,2014
2,2014
2,2015
2,2015
1,2014
2,2013
2,2015
0,2013
2,2015
2,2015
1,2015
1,2014
0,2015
0,2013
2,2015
2,2015
1,2014
2,2014
2,2015
2,2014
2,2014
2,2014
2,2014
2,2014
0,2015
2,2014
2,2013
1,2015
2,2015
1,2014
2,2014
2,2013
2,2012
2,2013
2,2014
1,2013
1,2013
2,2015
2,2014
1,2014
2,2015
2,2015
2,2014
2,2014
2,2014
2,2013
2,2012
2,2014
2,2014
0,2015
2,2014
1,2014
2,2014
2,2014
2,2014
2,2014
2,2012
0,2014
2,2013
2,2013
2,2013
1,2013
1,2013
2,2014
2,2013
2,2015
2,2014
2,2015
2,2014
2,2014
2,2014
0,2014
1,2013
1,2012
1,2012
1,2012
2,2014
1,2015
2,2014
1,2014
1,2013
2,2015
2,2014
2,2015
2,2014
2,2014
2,2013
2,2014
2,2014
2,2014
1,2014
1,2015
2,2015
2,2015
2,2014
1,2015
2,2015
2,2014
2,2013
2,2015
0,2014
2,2014
2,2014
2,2014
1,2014
1,2014
1,2014
2,2014
2,2014
0,2015
2,2015
